age,age group,eligible,job,salary,marital,education,marital-education,targeted,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,response
34,5,N,housemaid,8000,single,tertiary,married-primary,yes,no,4095,no,no,unknown,14,sep,924,58,109,58,unknown,no,0
89,9,N,admin.,70000,divorced,tertiary,single-secondary,yes,yes,1410,yes,yes,cellular,6,nov,747,25,143,7,unknown,yes,0
57,4,Y,student,120000,divorced,tertiary,single-primary,yes,yes,3885,no,yes,telephone,30,aug,89,4,40,11,failure,no,1
67,6,Y,unknown,4000,single,primary,divorced-secondary,no,no,8135,yes,yes,cellular,5,dec,1145,27,172,12,success,yes,0
29,8,N,self-employed,0,married,unknown,single-secondary,yes,no,10378,no,yes,unknown,14,feb,382,7,476,29,unknown,yes,1
54,7,Y,unemployed,50000,divorced,tertiary,divorced-secondary,yes,no,7742,yes,yes,unknown,28,nov,98,20,64,13,unknown,yes,1
37,8,N,self-employed,4000,married,secondary,divorced-secondary,no,no,3100,yes,yes,cellular,27,sep,306,25,385,21,unknown,no,0
35,9,N,housemaid,100000,married,secondary,divorced-tertiary,no,yes,1013,yes,yes,cellular,24,mar,1020,43,374,22,success,yes,0
23,1,Y,admin.,60000,single,tertiary,divorced-secondary,no,yes,1390,no,no,telephone,10,sep,159,43,167,16,success,no,1
54,8,Y,services,70000,single,secondary,divorced-primary,yes,yes,2145,yes,yes,unknown,14,nov,781,26,215,28,success,no,0
58,9,Y,admin.,16000,married,unknown,married-primary,no,no,844,yes,yes,unknown,6,dec,984,26,377,1,success,yes,1
87,1,N,self-employed,70000,divorced,primary,married-unknown,yes,yes,13683,no,no,telephone,14,dec,1208,13,489,32,unknown,no,0
63,7,Y,management,4000,single,tertiary,single-primary,no,no,12697,no,yes,cellular,22,may,1519,12,149,12,failure,yes,0
25,4,Y,self-employed,4000,single,secondary,divorced-tertiary,no,yes,496,no,yes,telephone,13,dec,1606,50,361,9,unknown,no,0
43,5,Y,entrepreneur,8000,divorced,unknown,divorced-unknown,no,no,-478,yes,yes,unknown,11,apr,108,9,557,7,failure,no,1
82,9,Y,housemaid,8000,divorced,tertiary,single-unknown,yes,no,1587,yes,no,telephone,30,aug,1,23,267,38,failure,no,1
86,1,N,management,20000,married,secondary,single-unknown,yes,no,2246,yes,no,telephone,10,nov,164,2,252,26,success,yes,0
82,6,N,unemployed,60000,single,unknown,divorced-primary,yes,yes,1071,yes,no,telephone,7,mar,930,63,38,8,success,yes,1
66,2,Y,blue-collar,120000,married,unknown,single-unknown,no,yes,2251,no,no,unknown,9,aug,1006,17,292,6,failure,no,1
29,1,Y,unknown,4000,divorced,primary,single-primary,no,no,4235,no,yes,telephone,29,apr,442,24,34,11,success,no,1
51,4,N,retired,100000,married,secondary,single-secondary,no,no,13931,no,yes,unknown,24,nov,902,18,68,37,success,yes,0
68,2,N,blue-collar,50000,divorced,primary,married-secondary,no,yes,6763,no,yes,unknown,24,aug,42,25,587,35,success,yes,0
38,8,Y,student,55000,single,secondary,married-tertiary,yes,no,-457,no,yes,telephone,2,dec,1190,15,195,1,failure,yes,1
54,9,Y,student,20000,married,unknown,divorced-unknown,no,no,11632,yes,no,telephone,15,may,1187,31,355,3,other,no,1
25,3,Y,services,120000,married,unknown,single-primary,yes,no,5643,yes,yes,telephone,14,jan,1153,44,66,37,other,no,0
93,9,Y,blue-collar,8000,married,unknown,single-tertiary,yes,no,5403,no,yes,unknown,1,nov,1426,28,178,13,other,yes,1
78,2,N,retired,8000,married,tertiary,single-secondary,yes,no,762,yes,no,telephone,22,sep,578,16,32,32,unknown,no,1
94,9,N,retired,120000,divorced,secondary,divorced-unknown,no,no,1490,no,yes,telephone,20,sep,1047,38,422,13,failure,yes,0
35,6,Y,unemployed,20000,married,secondary,single-primary,no,yes,3899,yes,no,unknown,4,jun,257,23,129,8,other,yes,1
19,2,N,unemployed,4000,single,primary,divorced-tertiary,no,yes,-391,no,no,unknown,26,mar,336,7,365,29,unknown,yes,0
36,4,Y,student,16000,single,primary,divorced-unknown,yes,yes,4016,yes,no,unknown,18,jan,14,5,467,9,success,no,1
35,9,Y,self-employed,60000,divorced,tertiary,divorced-unknown,yes,yes,-442,yes,yes,unknown,4,feb,423,19,50,22,failure,yes,1
87,9,N,unknown,16000,divorced,secondary,married-secondary,no,yes,2104,yes,no,telephone,20,mar,1616,21,14,55,other,no,0
57,7,Y,unknown,16000,single,primary,married-primary,no,no,13494,yes,no,cellular,23,jun,710,13,490,28,failure,no,0
66,3,N,services,50000,divorced,secondary,single-unknown,no,no,8491,yes,no,telephone,10,oct,1666,1,249,15,other,no,0
83,3,N,technician,20000,married,unknown,married-tertiary,yes,yes,3051,yes,yes,cellular,23,dec,941,19,94,3,success,no,1
75,4,Y,management,120000,married,unknown,married-secondary,yes,no,1797,yes,no,unknown,26,dec,1307,25,354,30,other,yes,0
72,7,N,entrepreneur,120000,divorced,primary,divorced-primary,yes,no,-6,no,no,telephone,22,may,575,23,321,14,other,no,1
29,4,N,unemployed,120000,married,secondary,single-primary,no,no,6529,no,no,unknown,9,dec,266,44,247,23,unknown,yes,0
83,7,N,management,120000,divorced,unknown,single-unknown,no,yes,4558,no,yes,telephone,10,may,712,44,68,7,failure,no,1
28,3,N,blue-collar,50000,single,primary,married-primary,yes,no,6332,no,no,unknown,22,dec,1740,51,195,15,failure,yes,1
95,9,Y,retired,55000,divorced,secondary,single-unknown,no,no,1190,yes,yes,telephone,21,oct,793,8,457,6,other,no,1
40,3,N,admin.,20000,single,unknown,single-unknown,yes,yes,1634,yes,yes,cellular,31,apr,653,4,-1,23,failure,no,0
54,8,N,services,16000,single,unknown,married-primary,yes,no,8312,yes,no,cellular,28,sep,1123,29,206,38,success,no,0
70,1,N,student,8000,single,tertiary,single-primary,yes,yes,29941,yes,yes,cellular,23,jul,1408,7,260,5,unknown,no,0
87,2,Y,technician,20000,divorced,tertiary,married-secondary,yes,no,2807,yes,yes,unknown,17,apr,335,24,462,13,other,yes,0
53,6,Y,unemployed,50000,single,unknown,single-unknown,no,no,6005,no,yes,telephone,1,nov,1721,24,137,275,unknown,yes,1
30,3,N,management,55000,single,tertiary,married-secondary,yes,yes,-1629,no,yes,unknown,16,aug,1031,9,124,6,unknown,yes,0
78,3,N,self-employed,16000,divorced,primary,divorced-unknown,yes,yes,775,yes,no,unknown,15,jul,493,8,317,21,success,yes,1
61,5,Y,student,16000,married,tertiary,divorced-primary,no,yes,3244,no,no,unknown,31,dec,622,20,479,30,success,no,1
73,3,N,management,60000,single,tertiary,single-primary,no,yes,9634,no,no,telephone,9,feb,19,1,215,37,success,yes,1
52,6,N,retired,70000,divorced,primary,married-secondary,no,no,1079,yes,yes,cellular,5,jul,1240,43,475,11,other,no,0
84,8,Y,management,120000,married,unknown,married-unknown,yes,no,17297,yes,yes,telephone,9,may,1027,8,357,25,failure,yes,0
20,3,N,unemployed,0,divorced,tertiary,divorced-unknown,no,no,5235,yes,no,unknown,11,feb,1363,24,365,2,unknown,no,1
76,8,N,admin.,55000,single,secondary,married-tertiary,no,no,26306,no,yes,telephone,21,dec,958,5,158,40,failure,no,0
37,8,Y,blue-collar,0,divorced,tertiary,married-primary,yes,no,107,no,yes,unknown,1,sep,1176,30,112,55,unknown,yes,1
69,3,N,blue-collar,55000,divorced,tertiary,divorced-tertiary,no,yes,6554,no,yes,unknown,15,feb,169,55,248,30,failure,yes,0
60,1,Y,unknown,0,divorced,tertiary,married-unknown,yes,yes,1840,yes,no,unknown,6,nov,487,20,475,3,success,yes,1
66,4,Y,retired,4000,single,unknown,divorced-primary,yes,yes,4661,yes,yes,unknown,3,aug,720,28,220,275,unknown,yes,1
76,8,Y,technician,100000,single,tertiary,divorced-secondary,no,no,4071,yes,yes,unknown,7,oct,1403,22,42,8,unknown,yes,0
75,4,N,unemployed,50000,divorced,primary,married-tertiary,no,no,-375,yes,no,cellular,15,dec,190,36,51,40,other,no,1
53,1,Y,management,20000,single,primary,divorced-unknown,yes,no,-810,no,no,cellular,17,oct,580,43,838,37,other,yes,1
30,7,N,technician,0,single,secondary,single-tertiary,no,yes,3653,no,yes,unknown,4,jan,340,12,543,1,failure,yes,0
80,5,N,entrepreneur,16000,single,tertiary,single-unknown,no,no,2896,yes,no,telephone,18,nov,886,50,268,8,unknown,yes,1
31,2,N,entrepreneur,0,divorced,tertiary,divorced-tertiary,yes,yes,618,yes,yes,unknown,27,mar,1000,30,33,37,unknown,no,0
86,6,Y,unknown,16000,married,unknown,married-tertiary,no,yes,5946,yes,no,unknown,3,sep,673,58,58,8,success,no,0
66,5,Y,retired,100000,single,unknown,single-tertiary,no,no,4764,no,no,unknown,31,feb,953,14,779,21,other,yes,1
35,2,Y,student,100000,married,secondary,married-secondary,no,no,235,no,no,cellular,31,apr,1254,35,41,24,other,no,1
44,6,Y,housemaid,60000,single,secondary,divorced-secondary,no,yes,58,yes,yes,telephone,16,apr,718,27,169,12,other,no,1
29,3,N,unemployed,20000,married,primary,divorced-secondary,no,yes,652,no,yes,telephone,12,mar,110,26,41,9,other,no,1
26,9,Y,technician,8000,married,tertiary,married-primary,yes,yes,12972,yes,no,unknown,30,may,1086,29,159,7,failure,yes,0
52,7,Y,self-employed,4000,married,tertiary,divorced-secondary,no,yes,5788,yes,yes,unknown,4,sep,1297,46,318,16,failure,yes,0
38,3,Y,retired,55000,married,secondary,single-primary,yes,yes,3222,yes,no,telephone,28,jan,110,39,31,51,unknown,yes,0
73,6,Y,student,120000,married,secondary,single-unknown,no,yes,4840,no,yes,cellular,14,aug,1357,6,430,15,success,no,1
94,1,N,admin.,50000,married,unknown,married-unknown,yes,yes,1347,no,yes,unknown,18,jan,583,44,173,40,other,yes,1
68,1,Y,admin.,20000,divorced,secondary,divorced-unknown,yes,yes,9750,yes,no,cellular,21,jun,1055,6,346,11,other,no,1
74,3,Y,blue-collar,100000,married,tertiary,single-secondary,no,no,4071,yes,yes,telephone,17,jan,33,43,95,14,unknown,yes,0
