id,Duration in months,Credit history,Purpose of the credit,Credit amount,Status of savings account/bonds,Present employment(years),Installment rate in percentage of disposable income,personal_status,Other debtors / guarantors,Present residence since X years,Property,Age in years,Other installment plans (banks/stores),Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Status of existing checking account
1001,15,delayed previously,furniture/equipment,8583,<100,4<=X<7,4,female div/dep/mar,none,1,no known property,43,none,for free,1,high qualif/self emp/mgmt,2,none,no,bad
1002,28,all paid,radio/tv,4580,>=1000,<1,4,female div/dep/mar,none,4,life insurance,20,none,rent,2,unemp/unskilled non res,2,yes,yes,good
1003,32,all paid,domestic appliance,6575,>=1000,>=7,3,male mar/wid,guarantor,3,life insurance,62,stores,for free,1,skilled,2,none,no,bad
1004,26,critical/other existing credit,business,15937,<100,1<=X<4,2,male div/sep,co applicant,2,no known property,75,none,for free,2,unskilled resident,2,yes,no,good
1005,45,critical/other existing credit,other,3163,>=1000,4<=X<7,1,male single,guarantor,1,real estate,24,stores,rent,1,skilled,1,yes,yes,good
1006,13,critical/other existing credit,domestic appliance,14760,<100,>=7,2,female div/dep/mar,none,4,life insurance,32,stores,rent,3,unemp/unskilled non res,1,none,no,good
1007,24,all paid,education,5995,no known savings,unemployed,3,male single,none,1,car,29,none,rent,4,unskilled resident,1,none,no,good
1008,18,all paid,retraining,16912,100<=X<500,unemployed,2,male mar/wid,guarantor,2,life insurance,52,bank,own,2,unskilled resident,2,yes,yes,bad
1009,38,existing paid,business,16663,>=1000,>=7,2,male single,none,1,real estate,57,bank,rent,3,skilled,1,yes,yes,bad
1010,45,all paid,domestic appliance,768,500<=X<1000,>=7,2,female div/dep/mar,co applicant,1,life insurance,36,stores,own,4,unskilled resident,2,none,no,bad
1011,51,critical/other existing credit,domestic appliance,12610,>=1000,4<=X<7,3,male mar/wid,co applicant,2,real estate,21,bank,for free,4,skilled,2,none,yes,bad
1012,4,critical/other existing credit,repairs,9977,<100,<1,4,male div/sep,co applicant,4,life insurance,51,none,rent,1,skilled,2,none,no,bad
1013,65,existing paid,business,6633,<100,4<=X<7,4,male single,none,2,car,53,bank,rent,2,skilled,2,none,yes,bad
1014,54,all paid,used car,706,100<=X<500,1<=X<4,2,male mar/wid,none,2,life insurance,35,bank,own,4,skilled,1,yes,no,good
1015,53,no credits/all paid,other,17643,100<=X<500,4<=X<7,2,male mar/wid,guarantor,1,real estate,25,none,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
1016,21,no credits/all paid,domestic appliance,9052,>=1000,<1,2,female div/dep/mar,co applicant,1,real estate,66,stores,own,3,skilled,2,yes,yes,bad
1017,8,delayed previously,furniture/equipment,6029,<100,4<=X<7,1,male single,co applicant,1,real estate,61,none,for free,4,unskilled resident,2,yes,no,good
1018,38,critical/other existing credit,domestic appliance,13047,500<=X<1000,unemployed,2,male mar/wid,co applicant,4,life insurance,59,bank,own,2,skilled,1,none,yes,bad
1019,8,critical/other existing credit,other,12589,100<=X<500,4<=X<7,4,male div/sep,none,4,real estate,67,none,rent,2,high qualif/self emp/mgmt,2,none,yes,good
